Country Name,n Jahre,Spearman ρ,p-Spearman,Kendall τ_b,p-Kendall
Canada,63,-0.203,0.111,-0.066,0.444
Chad,39,-0.22,0.178,-0.142,0.204
Bolivia,59,-0.228,0.082,-0.199,0.026
Libya,15,-0.243,0.383,-0.2,0.328
South Sudan,8,-0.262,0.531,-0.071,0.905
Argentina,61,-0.276,0.031,-0.151,0.086
Seychelles,39,-0.305,0.059,-0.225,0.043
Portugal,54,-0.306,0.024,-0.284,0.002
Mongolia,33,-0.335,0.057,-0.261,0.033
Cambodia,31,-0.409,0.022,-0.329,0.009
Tanzania,34,-0.422,0.013,-0.248,0.039
Armenia,30,-0.425,0.019,-0.343,0.007
Syrian Arab Republic,51,-0.433,0.002,-0.311,0.001
North Macedonia,28,-0.445,0.018,-0.333,0.013
France,64,-0.452,0.0,-0.305,0.0
Ghana,62,-0.455,0.0,-0.309,0.0
Bosnia and Herzegovina,22,-0.487,0.021,-0.342,0.027
"Yemen, Rep.",25,-0.505,0.01,-0.36,0.011
Sudan,56,-0.509,0.0,-0.392,0.0
Turkiye,64,-0.55,0.0,-0.467,0.0
Serbia,27,-0.579,0.002,-0.419,0.002
Cameroon,54,-0.582,0.0,-0.423,0.0
Romania,34,-0.597,0.0,-0.462,0.0
"Congo, Dem. Rep.",26,-0.601,0.001,-0.403,0.003
Ethiopia,13,-0.604,0.029,-0.462,0.03
Nicaragua,48,-0.604,0.0,-0.44,0.0
Kosovo,16,-0.618,0.011,-0.45,0.015
Eritrea,11,-0.636,0.035,-0.491,0.041
Guinea,24,-0.637,0.001,-0.377,0.01
Uzbekistan,7,-0.643,0.119,-0.429,0.239
Mexico,64,-0.665,0.0,-0.501,0.0
Montenegro,19,-0.672,0.002,-0.52,0.001
Lebanon,33,-0.684,0.0,-0.511,0.0
United Kingdom,54,-0.686,0.0,-0.462,0.0
Burkina Faso,64,-0.686,0.0,-0.588,0.0
Central African Republic,27,-0.727,0.0,-0.556,0.0
Philippines,43,-0.727,0.0,-0.59,0.0
Mauritius,48,-0.731,0.0,-0.507,0.0
Colombia,64,-0.741,0.0,-0.506,0.0
Sierra Leone,60,-0.762,0.0,-0.585,0.0
Namibia,34,-0.785,0.0,-0.565,0.0
Georgia,28,-0.789,0.0,-0.63,0.0
"Gambia, The",37,-0.796,0.0,-0.598,0.0
Fiji,43,-0.797,0.0,-0.586,0.0
Albania,32,-0.8,0.0,-0.629,0.0
Mozambique,33,-0.803,0.0,-0.58,0.0
Guatemala,64,-0.81,0.0,-0.635,0.0
El Salvador,59,-0.814,0.0,-0.619,0.0
Burundi,59,-0.816,0.0,-0.634,0.0
Somalia,40,-0.818,0.0,-0.648,0.0
Cabo Verde,37,-0.819,0.0,-0.622,0.0
Ukraine,31,-0.821,0.0,-0.63,0.0
Mauritania,35,-0.828,0.0,-0.644,0.0
Afghanistan,8,-0.833,0.01,-0.714,0.014
Rwanda,51,-0.847,0.0,-0.696,0.0
"Egypt, Arab Rep.",62,-0.849,0.0,-0.666,0.0
Uganda,63,-0.85,0.0,-0.692,0.0
Madagascar,62,-0.852,0.0,-0.663,0.0
Tajikistan,26,-0.852,0.0,-0.692,0.0
Senegal,45,-0.856,0.0,-0.687,0.0
Jordan,48,-0.856,0.0,-0.668,0.0
Pakistan,64,-0.863,0.0,-0.683,0.0
Jamaica,41,-0.863,0.0,-0.678,0.0
India,64,-0.867,0.0,-0.671,0.0
Moldova,29,-0.869,0.0,-0.695,0.0
Tunisia,59,-0.872,0.0,-0.686,0.0
Dominican Republic,64,-0.873,0.0,-0.71,0.0
Niger,40,-0.876,0.0,-0.697,0.0
Greece,64,-0.885,0.0,-0.762,0.0
Lesotho,23,-0.886,0.0,-0.739,0.0
Kenya,64,-0.895,0.0,-0.723,0.0
Haiti,19,-0.896,0.0,-0.731,0.0
Morocco,64,-0.896,0.0,-0.722,0.0
Togo,52,-0.903,0.0,-0.719,0.0
Benin,52,-0.904,0.0,-0.76,0.0
United States,54,-0.906,0.0,-0.725,0.0
Mali,55,-0.91,0.0,-0.767,0.0
Kyrgyz Republic,30,-0.916,0.0,-0.766,0.0
Honduras,57,-0.916,0.0,-0.76,0.0
Sri Lanka,58,-0.941,0.0,-0.792,0.0
Bangladesh,51,-0.955,0.0,-0.835,0.0
Nepal,54,-0.986,0.0,-0.913,0.0
